"Faculty ID","First Name","Last Name",UID,Type,Title,"Journal Title","Month / Season",Year,"Issue Number / Edition",Volume,"Page Number(s) or Number of Pages","Publisher City and State",URL,Publisher,Status,"Series Title","Publisher Country",ISSN,DOI,Term,Year,Description,Authors,"Scholarly Type","Intellectual Contributions:  Review Type","Scholarly Contributions and Creative Productions Type","Contribution Level","Publication Impact Factor","Author Order Number","Number of Co-Authors","Creative Writing","Student/Trainee Author Name(s)","Publication Accompanying Comments",Annotations
101009337,Stephen,Safe,528459,"Journal Article","Dual nuclear receptor 4A1 (NR4A1/NR4A2) ligands inhibit glioblastoma growth and target TWIST1","Molecular Pharmacology",1,2025,2,107,100009-100009,,,Elsevier,Completed/Published,,,,10.1016/j.molpha.2024.100009,Spring,2025,,"Srijana Upadhyay (Role:Author); Miok Lee (Role:Author); Lei Zhang (Role:Author); Arafat R Oany (Role:Author); Svetlana A Mikheeva (Role:Author); Andrei M Mikheev (Role:Author); Robert C Rostomily (Role:Author); Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,532254,"Journal Article","Expression of Prooncogenic Nuclear Receptor 4A (NR4A)-Regulated Genes 1-Integrin and G9a Inhibited by Dual NR4A1/2 Ligands.","Int J Mol Sci",2025-06-17,2025,8,26,3909-3909,,,MDPI,Completed/Published,,,,10.3390/ijms26083909,Summer,2025,,"Lei Zhang (Role:Author); Victoria Gatlin (Role:Author); Shreyan Gupta (Role:Author); Michael L Salinas (Role:Author); Selim Romero (Role:Author); James J Cai (Role:Author); Robert S Chapkin (Role:Author); Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,522220,"Journal Article","Activation of Genes by Nuclear Receptor/Specificity Protein (Sp) Interactions in Cancer.","Cancers (Basel)",2025-02-11,2025,2,17,284-284,,,MDPI,Completed/Published,,,,10.3390/cancers17020284,Spring,2025,,"Stephen H Safe (Role:Author); Evan Farkas (Role:Author); Amanuel E Hailemariam (Role:Author); Arafat R Oany (Role:Author); Gargi Sivaram (Role:Author); Wai N Tsui (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,533702,"Journal Article","Targeting Lineage-Specific Functions of NR4A1 for Cancer Immunotherapy.","Int J Mol Sci",5,2025,11,26,5266-5266,,,MDPI,Completed/Published,,,,10.3390/ijms26115266,Summer,2025,,"Jeremy Kleberg (Role:Author); Akhila Nataraj (Role:Author); Yufeng Xiao (Role:Author); Bristy R Podder (Role:Author); Zeng Jin (Role:Author); Tanzia I Tithi (Role:Author); Guangrong Zheng (Role:Author); Keiran S Smalley (Role:Author); Emily K Moser (Role:Author); Stephen H Safe (Role:Author); Chandra K Maharjan (Role:Author); Ryan Kolb (Role:Author); Weizhou Zhang (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,534854,"Journal Article","Orphan nuclear receptor transcription factors as drug targets.",Transcription,2025-08-18,2025,2-3,16,224-260,,,"Informa UK Limited",Completed/Published,,,,10.1080/21541264.2025.2521766,Fall,2025,,"Stephen H Safe (Role:Author); Arafat R Oany (Role:Author); Wai N Tsui (Role:Author); Miok Lee (Role:Author); Vinod K Srivastava (Role:Author); Srijana Upadhyay (Role:Author); Amanuel Hailemariam (Role:Author); Evan Farkas (Role:Author); Sarah Kakwan (Role:Author); Caitrina Kearns (Role:Author); Gargi Sivaram (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,515030,"Journal Article","Natural products as anticancer agents and enhancing their efficacy by a mechanism-based precision approach","Exploration of drug science",2025-01-28,2025,,,408-427,,,"Open Exploration Publishing",Completed/Published,,,,10.37349/eds.2024.00054,Spring,2025,,"Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,532255,"Journal Article","Orphan Nuclear Receptor 4A1 (NR4A1) and NR4A2are Endogenous Regulators of CD71 and TheirLigands Induce Ferroptosis in Breast Cancer.","Res Sq",2025-06-17,2025,,,-,,,,Completed/Published,,,,10.21203/rs.3.rs-6214709/v1,Summer,2025,,"Stephen H Safe (Role:Author); Arafat R Oany (Role:Author); Srijana Upadhyay (Role:Author); Wai N Tsui (Role:Author); Amanuel Hailemariam (Role:Author); Sarah Latka (Role:Author); John Landua (Role:Author); Sandra Scherer (Role:Author); Alana L Welm (Role:Author); Hugo Villanueva (Role:Author); Michael Lewis (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,533098,"Journal Article","Editorial Expression of Concern: Identification of oncogenic microRNA-17-92/ZBTB4/specificity protein axis in breast cancer.",Oncogene,4,2025,15,44,1064-1064,,,"Springer Nature",Completed/Published,,,,10.1038/s41388-025-03363-7,Spring,2025,,"K Kim (Role:Author); G Chadalapaka (Role:Author); S-O Lee (Role:Author); D Yamada (Role:Author); X Sastre-Garau (Role:Author); P-A Defossez (Role:Author); Y-Y Park (Role:Author); J-S Lee (Role:Author); S Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,536124,"Journal Article","NR4A1 Acts as a Nutrient Sensor That Inhibits the Effects of Aging.",Nutrients,2025-09-08,2025,16,17,2709-2709,,,MDPI,Completed/Published,,,,10.3390/nu17162709,Fall,2025,,"Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,541287,"Journal Article","Orphan nuclear receptor 4A1 (NR4A1) and NR4A2 are endogenous regulators of CD71 and their ligands induce ferroptosis in breast cancer.","Cell Death Dis",2025-11-17,2025,1,16,776-,,,"Springer Science and Business Media LLC",Completed/Published,,,,10.1038/s41419-025-08143-5,Fall,2025,,"Arafat R Oany (Role:Author); Srijana Upadhyay (Role:Author); Wai N Tsui (Role:Author); Amanuel Hailemariam (Role:Author); Sarah Latka (Role:Author); John D Landua (Role:Author); Sandra D Scherer (Role:Author); Alana L Welm (Role:Author); Hugo Villanueva (Role:Author); Michael T Lewis (Role:Author); Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,528497,"Journal Article","Perfluorooctane Sulfonate (PFOS) and Related Compounds Induce Nuclear Receptor 4A1 (NR4A1)-Dependent Carcinogenesis.","Chem Res Toxicol",3,2025,,,-,,,"American Chemical Society (ACS)",Completed/Published,,,,10.1021/acs.chemrestox.4c00528,Spring,2025,,"Amanuel Hailemariam (Role:Author); Srijana Upadhyay (Role:Author); Vinod K Srivastava (Role:Author); Zahin Hafiz (Role:Author); Lei Zhang (Role:Author); Wai N Tsui (Role:Author); Arafat R Oany (Role:Author); Jaileen Rivera-Rodriguez (Role:Author); Robert S Chapkin (Role:Author); Nicole Riddell (Role:Author); Robert McCrindle (Role:Author); Alan McAlees (Role:Author); Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,517468,"Journal Article","Involvement of Intestinal Epithelium Aryl Hydrocarbon Receptor Expression and 3, 3&#39;-Diindolylmethane in Colonic Tertiary Lymphoid Tissue Formation.","Int J Mol Sci",2025-01-28,2025,18,25,10153-10153,,,MDPI,Completed/Published,,,,10.3390/ijms251810153,Spring,2025,,"Erika L Garcia-Villatoro (Role:Author); Zachary S Bomstein (Role:Author); Kimberly F Allred (Role:Author); Evelyn S Callaway (Role:Author); Stephen H Safe (Role:Author); Robert S Chapkin (Role:Author); Arul Jayaraman (Role:Author); Clinton D Allred (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,501180,"Journal Article","Bis-Indole Derivatives as Dual Nuclear Receptor 4A1 (NR4A1) and NR4A2 Ligands.",Biomolecules,2,2024,3,14,284-284,,,MDPI,Completed/Published,,,,10.3390/biom14030284,Spring,2024,,"Srijana Upadhyay (Role:Author); Amanuel E Hailemariam (Role:Author); Fuada Mariyam (Role:Author); Zahin Hafiz (Role:Author); Gregory Martin (Role:Author); Jainish Kothari (Role:Author); Evan Farkas (Role:Author); Gargi Sivaram (Role:Author); Logan Bell (Role:Author); Ronald Tjalkens (Role:Author); Stephen H Safe (Role:Author)",,,,,,,,,,,
101009337,Stephen,Safe,540274,"Journal Article","NR4A nuclear receptor expression in human macrophages mediates apoptosis and controls Mycobacterium tuberculosis growth.","J Immunol",2025-10-13,2025,,,vkaf252-,,,"Oxford University Press (OUP)",Completed/Published,,,,10.1093/jimmun/vkaf252,Fall,2025,,"Jan D Simper (Role:Author); Natalie Jarvis (Role:Author); Susanta Pahari (Role:Author); Daniella Ortega (Role:Author); Abul Azad (Role:Author); Stephen H Safe (Role:Author); Eusondia Arnett (Role:Author); Larry S Schlesinger (Role:Author)",,,,,,,,,,,
101009545,Ethan,Grossman,533737,"Journal Article","<p>Spatial biases in oxygen-based Phanerozoic seawater temperature reconstructions</p>","Earth and Planetary Science Letters",7,2025,,663,119418-119418,,,Elsevier,Completed/Published,,,,10.1016/j.epsl.2025.119418,Summer,2025,,"P O Alexandre (Role:Author); Thomas W G (Role:Author); Arnaud B D (Role:Author); Ethan G N (Role:Author); Michael M I (Role:Author); Le Hir, Guillaume (Role:Author); Thomas L E (Role:Author); Daniel J T (Role:Author); Mathieu M Z (Role:Author); Emmanuelle P T (Role:Author); S U Guillaume (Role:Author); Paul V S (Role:Author); Yannick D U (Role:Author)",,"Non-blind, Peer Reviewed",,Contributing,5.1,,13,,,,
101009545,Ethan,Grossman,449162,"Journal Article","<p><span style=""font-size:12pt;"">Basin-Wide Lithofacies Identification Using Unsupervised Machine Learning: Applied to the Unconventional Wolfcamp Play, Permian Delaware Basin</span></p>","Unconventional Resources ",,2023,,,,,,,Submitted,,,,,Fall,2022,,"Anindito S Baskoro (Role:Author); E Ganguly (Role:Author); Alan Yu; Sid Misra (Role:Author); Ethan L Grossman (Role:Author)","Applied or Integration/Application Scholarship",,"Peer Reviewed Publication",Contributing,4.6,,4,,"Anindito Baskoro","Co-advisor of graduate student first author.",
101009545,Ethan,Grossman,528475,"Journal Article","<p>Cold low-latitude Ordovician paleotemperatures may be in hot water.</p>","Proc Natl Acad Sci U S A",3,2025,11,122,e2424291122-,,,"Proceedings of the National Academy of Sciences",Completed/Published,,,,10.1073/pnas.2424291122,Spring,2025,,"Ethan L Grossman (Role:Author); Bryce B Barney (Role:Author); Zeyang Sun (Role:Author); Gregory A Henkes (Role:Author); Yang Gao (Role:Author); Michael M Joachimski (Role:Author)","Basic or Discovery Scholarship","Editorially Reviewed",,Senior,9.1,,,,,,
101009545,Ethan,Grossman,517120,"Journal Article","<p>High-resolution chemofacies and pore system characterization of the Pennsylvanian Cline Shale, Midland Basin, Texas</p>","Marine and Petroleum Geology",2025-01-28,2024,,170,107120-107120,,https://www.sciencedirect.com/science/article/pii/S026481722400432X,Elsevier,Completed/Published,,,,10.1016/j.marpetgeo.2024.107120,Fall,2024,,"Ximeng Wang (Role:Author); Ethan L Grossman (Role:Author); Mauro R Becker (Role:Author)",,,,Corresponding,3.6,,3,,"Ximeng Wang",,
101009545,Ethan,Grossman,529370,"Journal Article","<p><span style=""font-size:12pt;"">Erosion-driven delayed warming and marine anoxia on the eve of the end-Permian mass extinction</span></p>","Nature Communications",,2025,,,,,,Nature,Submitted,,,,,Spring,2025,,"Shihan Li (Role:Author); J Shen (Role:Author); Ethan L Grossman (Role:Author); Shuang Zhang (Role:Author)","Basic or Discovery Scholarship","Non-blind, Peer Reviewed","Peer Reviewed Publication",Contributing,17.2,,,,"Shihan Li",,"Revision requested. Resubmitted 1/26/26"
101009545,Ethan,Grossman,553452,"Journal Article","<p><span style=""font-size:12pt;"">Echinoderm archive of ancient seawater Mg/Ca from the western Late Paleozoic Midcontinent Sea</span></p>","GSA Bull. ",,2025,,,,,,,Submitted,,,,,Fall,2024,,"Michelle Chrpa; Anne Raymond; Will M Lamb; Juan Carlos Laya; Ethan L Grossman; J. Thomka; K Pigg","Basic or Discovery Scholarship",,"Peer Reviewed Publication",Contributing,,,,,,,
101009545,Ethan,Grossman,501699,"Journal Article","<p>Clumped isotopes reveal relationship between mussel growth and river discharge.</p>","Scientific Reports",4,2024,1,14,7653-,,,"Springer Science and Business Media LLC",Completed/Published,,,,10.1038/s41598-024-58246-w,Spring,2024,,"Melanie A Brewer (Role:Author); Ethan L Grossman (Role:Author); Charles R Randklev (Role:Author)",,"Non-blind, Peer Reviewed","Peer Reviewed Publication",Contributing,4.3,,3,,"Melanie Brewer",,
101009596,Noah,Cohen,516453,"Journal Article","Immunization but not natural infection of horses results in antibody activity against the S protein of Streptococcus equi subsp equi.","Am J Vet Res",2025-01-28,2025,,,1-11,,,"American Veterinary Medical Association (AVMA)",Completed/Published,,,,10.2460/ajvr.24.08.0228,Spring,2025,,"Noah D Cohen (Role:Author); Emma V Hughes (Role:Author); Charlie Bayne (Role:Author); Ellen R Morris (Role:Author); Jocelyne M Bray (Role:Author); Kerstin K Landrock (Role:Author); Danielle M Gonzales (Role:Author); Reagan M Baker (Role:Author); Rafaela L Klein (Role:Author); Wen Liu (Role:Author); Rebecca M Legere (Role:Author); S G Wehmeyer (Role:Author); Angela I Bordin (Role:Author); Igor H Wierzbicki (Role:Author); David J Gonzalez (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,532904,"Journal Article","Transfusion of rhodococcal hyperimmune plasma to newborn foals does not markedly alter serum electrolyte or protein concentrations.","J Am Vet Med Assoc",2025-06-17,2025,,,1-7,,,"American Veterinary Medical Association (AVMA)",Completed/Published,,,,10.2460/javma.25.02.0115,Summer,2025,,"Devynn M Volding (Role:Author); Patricia Flores-Ahlschwede (Role:Author); Megan J Cramer (Role:Author); Kerstin K Landrock (Role:Author); Kira C Sayre (Role:Author); Thomas H Welsh (Role:Author); Angela I Bordin (Role:Author); Julie Piccione (Role:Author); Noah D Cohen (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,534510,"Journal Article","Nebulization of a mRNA-encoded monoclonal antibody for passive immunization of foals against Rhodococcus equi.","Mol Ther",6,2025,,,S1525-0016(25)00476-9-,,,Elsevier,Completed/Published,,,,10.1016/j.ymthe.2025.06.025,Summer,2025,,"Rebecca M Legere (Role:Author); Jeannine A Ott (Role:Author); Cristina Poveda (Role:Author); Daryll Vanover (Role:Author); Karin E Borba (Role:Author); Cameron L Martin (Role:Author); Jocelyne M Bray (Role:Author); Kerstin Landrock (Role:Author); Gus A Wright (Role:Author); J C Blazier (Role:Author); Andrew E Hillhouse (Role:Author); Ashley L Benham-Duret (Role:Author); Brandon Mistretta (Role:Author); Rafaela L Klein (Role:Author); Sarah M Thompson (Role:Author); Amelia R Woolums (Role:Author); Michael F Criscitiello (Role:Author); Luc R Berghman (Role:Author); Angela I Bordin (Role:Author); Phillip J Santangelo (Role:Author); Jeroen Pollet (Role:Author); Noah D Cohen (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,497838,"Journal Article","<span style=""font-size:12px;""><span style=""font-size:10pt;"">​</span><span style=""font-size:10pt;""><span>Legere RM, Poveda C, Ott JA, Bray JM, </span><span>Villafone</span><span> EG, da Silveira BP, Kahn SK, Martin CL, Mancino C, </span><span>Taraballi</span><span> F, Criscitiello MF, </span><span>Berghan</span><span> LR, Bordin AI, Pollet JP, </span></span><span style=""font-size:10pt;""><span>Cohen ND</span></span><span style=""font-size:10pt;""><span>. Intramuscular but not nebulized administration of a mRNA vaccine against </span></span><span style=""font-size:10pt;font-style:italic;""><span>Rhodococcus</span><span> </span><span>equi</span></span><span style=""font-size:10pt;""><span> stimulated humoral immune responses in neonatal foals</span><span>.  </span></span><span style=""font-size:10pt;""><span>Am J Vet Res</span></span><span style=""font-size:10pt;""><span> (Major revision under review).</span></span></span><span style=""font-size:10pt;""></span><span style=""font-size:10pt;""> </span>",,,,,,,,,,"Revise & Resubmit",,,,,Fall,2023,,"Noah D Cohen",,,,,,,,,,,
101009596,Noah,Cohen,535374,"Journal Article","High-resolution melting curve FRET-qPCR rapidly distinguishes Streptococcus equi subsp. equi and zooepidemicus.","Microbiol Spectr",2025-08-25,2025,,,e0152925-,,,"American Society for Microbiology",Completed/Published,,,,10.1128/spectrum.01529-25,Fall,2025,,"Nneka V Iduu (Role:Author); Donna Raiford (Role:Author); Noah D Cohen (Role:Author); Kerstin K Landrock (Role:Author); Chengming Wang (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,498441,"Journal Article","Antimicrobial Residue Accumulation Contributes to Higher Levels of Rhodococcus equi Carrying Resistance Genes in the Environment of Horse-Breeding Farms.","Vet Sci",2,2024,2,11,92-92,,,"Mdpi AG",Completed/Published,,,,10.3390/vetsci11020092,Spring,2024,,"Courtney Higgins (Role:Author); Noah D Cohen (Role:Author); Nathan Slovis (Role:Author); Melissa Boersma (Role:Author); Pankaj P Gaonkar (Role:Author); Daniel R Golden (Role:Author); Laura Huber (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,507248,"Journal Article","<span><span> Protective immune response against </span><span>Rhodococcus equi</span><span>: an innate immunity-focused review</span></span>",,,,,,,,,,Accepted,,,,,Spring,2024,"<span>​</span><span><span>​</span><span>Silveira BP, </span><span>Cohen ND,</span><span> Lawhon SD, Watson RO, Bordin AI. Protective immune response against </span><span>Rhodococcus equi</span><span>: an innate immunity-focused review. </span><span>Equine Vet J</span><span> 2024 (In Press). </span><span>IMPACT FACTOR: 2.4</span><span>​</span></span><span></span><span> </span>","Noah D Cohen",,,,,,,,,,,
101009596,Noah,Cohen,497839,"Journal Article","<span style=""font-size:12px;""><span style=""font-size:10pt;"">​</span><span style=""font-size:10pt;""><span>2Takai S, Suzuki Y, Sasaki Y, Kakuda T, Ribeiro MG, Makrai L, Witkowski L, Cohen ND, </span><span>Sekizaki</span><span> T. Geographical distribution of equine-associated </span><span>pVAPA</span><span> plasmids in </span></span><span style=""font-size:10pt;font-style:italic;""><span>Rhodococcus</span><span> </span><span>equi</span></span><span style=""font-size:10pt;""><span> in the world. </span></span><span style=""font-size:10pt;""><span>Vet </span><span>Microbiol</span></span><span style=""font-size:10pt;""><span> 2023 (Submitted July 11, 2023)</span></span></span><span style=""font-size:10pt;""></span><span style=""font-size:10pt;""> </span>",,,,,,,,,,Submitted,,,,,Fall,2023,,"Noah D Cohen",,,,,,,,,,,
101009596,Noah,Cohen,542528,"Journal Article","Immunogenic Streptococcus equi cell surface proteins identified by ORFeome phage display.",mSphere,2025-12-15,2025,,,e0062625-,,,"American Society for Microbiology",Completed/Published,,,,10.1128/msphere.00626-25,Fall,2025,,"Joshua Wan (Role:Author); Evan Weldon (Role:Author); Gabriella Ganser (Role:Author); Ellen R Morris (Role:Author); Emma V Hughes (Role:Author); Angela I Bordin (Role:Author); Philip A Heine (Role:Author); Michael Hust (Role:Author); Noah D Cohen (Role:Author); Jason J Gill (Role:Author); Mei Liu (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,507246,"Journal Article","<span>Identification of 3 neutralizing linear epitopes on the VP8 outer capsid protein of group A equine rotavirus (ERV)</span>",,,,,,,,,,Completed/Published,,,,,Spring,2024,"<span><span>​</span><span>Skrobarczyk JW, Flores-Ahlschwede P, Metcalfe LL, </span><span>Cohen ND</span><span>, Berghman LR. Identification of 3 neutralizing linear epitopes on the VP8 outer capsid protein of group A equine rotavirus (ERV). </span><span>Am J Vet Res</span><span> 2024;85(2):1-8. DOI: </span><a href=""https://doi.org/10.2460/ajvr.23.08.0193"" target=""_blank"" rel=""noreferrer noopener""><span>https://doi.org/10.2460/ajvr.23.08.0193</span></a><span> .</span><span> IMPACT FACTOR: 1.3</span></span><span></span><span> </span>","Noah D Cohen",,,,,,,,,,,
101009596,Noah,Cohen,514489,"Journal Article","Protective immune response against Rhodococcus equi: An innate immunity-focused review.","Equine Vet J",2025-01-28,2025,,,-,,,Wiley,Completed/Published,,,,10.1111/evj.14214,Spring,2025,,"Noah D Cohen (Role:Author); Sara D Lawhon (Role:Author); Robert O Watson (Role:Author); Angela I Bordin (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,497836,"Journal Article","<span style=""font-size:10pt;"">​</span><span style=""font-size:12px;""><span style=""font-size:10pt;"">​</span><span style=""font-size:10pt;""><span>Petri da Silveira B, </span><span>Barhoumi</span><span> R, </span><span>Bray</span><span> JM, Cole-Pfeiffer HM, </span><span>Mabry</span><span> CJ, </span></span><span style=""font-size:10pt;""><span>Cohen ND</span></span><span style=""font-size:10pt;""><span>, Bordin AI. </span></span><span style=""font-size:10pt;""><span>Impact of surface receptors TLR2, CR3, and </span><span>FcγRIII</span><span> on </span></span><span style=""font-size:10pt;font-style:italic;""><span>Rhodococcus</span><span> </span><span>equi</span></span><span style=""font-size:10pt;""><span> phagocytosis and intracellular survival in macrophages</span><span>. </span></span><span style=""font-size:10pt;""><span>Infect </span><span>Immun</span></span><span style=""font-size:10pt;""><span> (In Press).</span></span></span><span style=""font-size:10pt;""></span><span style=""font-size:10pt;""> </span>",,,,,,,,,,Accepted,,,,,Fall,2023,,"Noah D Cohen",,,,,,,,,,,
101009596,Noah,Cohen,507257,"Journal Article","<span style=""background-color:transparent;font-size:12pt;"">Novel drug combination for treatment of </span><span style=""background-color:transparent;font-size:12pt;font-style:italic;"">Rhodoccus equi</span><span style=""background-color:transparent;font-size:12pt;""> infection</span>",,,,,,,,,,Submitted,,,,,Summer,2024,"<p><span>Agobe FO, Chirra B, Muñoz-Medina R, Shah KN, Morris ERA, Bordin AI, Baeza J, Hassan AM, Brozovich AA, Shah PN, Chen Q, Kürti L, </span><span>Cohen ND</span><span>, Cannon CL. Novel drug combination for treatment of </span><span>Rhodoccus equi</span><span> infection. </span><span>Microbiol Spectrum</span><span> (Submitted August 2024) </span><span> </span></p>
<p><span><strong>Annotation:</strong> I am co-corresponding author with Carolyn Cannon</span><span> </span></p>
<p> </p>","Noah D Cohen (Role:Author)",,,,,,,,,,,
101009596,Noah,Cohen,507247,"Journal Article","<span>Integrated analysis of gut metabolome, microbiome, and exfoliome data in an equine model of intestinal injury</span>",,,,,,,,,,Completed/Published,,,,,Spring,2024,"<span><span>​</span><span>Whitfield-Cargile CM, Chung HC, Coleman MC, </span><span>Cohen ND</span><span>, Chamoun-Emanuelli AM, Ivanov I, Goldsby JS, Davidson LA, Gaynanova I, Ni Y, Chapkin RS. Integrated analysis of gut metabolome, microbiome, and exfoliome data in an equine model of intestinal injury. </span><span>Microbiome</span><span> 2024;12:74. </span><a href=""https://doi.org/10.1186/s40168-024-01785-1"" target=""_blank"" rel=""noreferrer noopener""><span>https://doi.org/10.1186/s40168-024-01785-1</span></a><span> </span><span>IMPACT FACTOR: 13.8</span></span><span></span><span> </span>","Noah D Cohen",,,,,,,,,,,
